         Symbol Name             Value        Hex      Decimal      Char    

Estado_Maquina               0x00000000 == READY 0x00000000         0       '....'
Estoy_Test                            0x04       0x04         4          '.'
freq_value                   0x0000000A == RF_freq_1mhz 0x0000000A        10       '....'
handle_value                          0x01       0x01         1          '.'
refdacdds_value                       0x7F       0x7F       127          '.'
dacdds_value                          0x2B       0x2B        43          '+'
level_value                           0xE1       0xE1       225          '.'
index_percentage_value                0x01       0x01         1          '.'
calibration_status           0x00000019 == CALIBRATION_NO_STATE 0x00000019        25       '....'
Temperatura_Alarma                    0x5A       0x5A        90          'Z'
array_level                  "ÿÿáßÞÜÛÚØ×ÔÓÒÐËÅÃ½¹»ÀÿÿÕÔÓÒÑÐÎÌÊÉÈÆÄÂ½¹¶»ÀÿÿåäãâáàÞÜÚØÖÓÑÎËÈÅÂ¿ÿÿßÝÛÚØ×ÖÕÓÒÑÏÎÌËÊÈÇÅÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ"                                  
[0]                                    '.'       0xFF       255          '.'
[0,0]                                  '.'       0xFF       255          '.'
[0,1]                                  '.'       0xFF       255          '.'
[0,2]                                  '.'       0xE1       225          '.'
[0,3]                                  '.'       0xDF       223          '.'
[0,4]                                  '.'       0xDE       222          '.'
[0,5]                                  '.'       0xDC       220          '.'
[0,6]                                  '.'       0xDB       219          '.'
[0,7]                                  '.'       0xDA       218          '.'
[0,8]                                  '.'       0xD8       216          '.'
[0,9]                                  '.'       0xD7       215          '.'
[0,10]                                 '.'       0xD4       212          '.'
[0,11]                                 '.'       0xD3       211          '.'
[0,12]                                 '.'       0xD2       210          '.'
[0,13]                                 '.'       0xD0       208          '.'
[0,14]                                 '.'       0xCB       203          '.'
[0,15]                                 '.'       0xC5       197          '.'
[0,16]                                 '.'       0xC3       195          '.'
[0,17]                                 '.'       0xBD       189          '.'
[0,18]                                 '.'       0xB9       185          '.'
[0,19]                                 '.'       0xBB       187          '.'
[0,20]                                 '.'       0xC0       192          '.'
[1]                                    '.'       0xFF       255          '.'
[1,0]                                  '.'       0xFF       255          '.'
[1,1]                                  '.'       0xFF       255          '.'
[1,2]                                  '.'       0xD5       213          '.'
[1,3]                                  '.'       0xD4       212          '.'
[1,4]                                  '.'       0xD3       211          '.'
[1,5]                                  '.'       0xD2       210          '.'
[1,6]                                  '.'       0xD1       209          '.'
[1,7]                                  '.'       0xD0       208          '.'
[1,8]                                  '.'       0xCE       206          '.'
[1,9]                                  '.'       0xCC       204          '.'
[1,10]                                 '.'       0xCA       202          '.'
[1,11]                                 '.'       0xC9       201          '.'
[1,12]                                 '.'       0xC8       200          '.'
[1,13]                                 '.'       0xC6       198          '.'
[1,14]                                 '.'       0xC4       196          '.'
[1,15]                                 '.'       0xC2       194          '.'
[1,16]                                 '.'       0xBD       189          '.'
[1,17]                                 '.'       0xB9       185          '.'
[1,18]                                 '.'       0xB6       182          '.'
[1,19]                                 '.'       0xBB       187          '.'
[1,20]                                 '.'       0xC0       192          '.'
[2]                                    '.'       0xFF       255          '.'
[2,0]                                  '.'       0xFF       255          '.'
[2,1]                                  '.'       0xFF       255          '.'
[2,2]                                  '.'       0xE5       229          '.'
[2,3]                                  '.'       0xE4       228          '.'
[2,4]                                  '.'       0xE3       227          '.'
[2,5]                                  '.'       0xE2       226          '.'
[2,6]                                  '.'       0xE1       225          '.'
[2,7]                                  '.'       0xE0       224          '.'
[2,8]                                  '.'       0xDE       222          '.'
[2,9]                                  '.'       0xDC       220          '.'
[2,10]                                 '.'       0xDA       218          '.'
[2,11]                                 '.'       0xD8       216          '.'
[2,12]                                 '.'       0xD6       214          '.'
[2,13]                                 '.'       0xD3       211          '.'
[2,14]                                 '.'       0xD1       209          '.'
[2,15]                                 '.'       0xCE       206          '.'
[2,16]                                 '.'       0xCB       203          '.'
[2,17]                                 '.'       0xC8       200          '.'
[2,18]                                 '.'       0xC5       197          '.'
[2,19]                                 '.'       0xC2       194          '.'
[2,20]                                 '.'       0xBF       191          '.'
[3]                                    '.'       0xFF       255          '.'
