       Symbol Name            Value      Decimal

array_dacdds             "ÿ.1+-/+2++++++++++++,ÿ.,+++++++++++++++++,ÿ0+-0+.+/+0+0+/++.++,ÿ7230/+,+,,+,+++++++<ÿ-,,+,,+,++++++++++++ÿ.36:0+,,,,+,,+,,,++Aÿ21/./+/++++++++++++4ÿ-,++++++++++++++++++ÿ//15-,+-+.+.+-++-++6"     
[0]                                  '.'  255
[0,0]                                '.'  255
[0,1]                                '.'   46
[0,2]                                '1'   49
[0,3]                                '+'   43
[0,4]                                '-'   45
[0,5]                                '/'   47
[0,6]                                '+'   43
[0,7]                                '2'   50
[0,8]                                '+'   43
[0,9]                                '+'   43
[0,10]                               '+'   43
[0,11]                               '+'   43
[0,12]                               '+'   43
[0,13]                               '+'   43
[0,14]                               '+'   43
[0,15]                               '+'   43
[0,16]                               '+'   43
[0,17]                               '+'   43
[0,18]                               '+'   43
[0,19]                               '+'   43
[0,20]                               ','   44
[1]                                  '.'  255
[1,0]                                '.'  255
[1,1]                                '.'   46
[1,2]                                ','   44
[1,3]                                '+'   43
[1,4]                                '+'   43
[1,5]                                '+'   43
[1,6]                                '+'   43
[1,7]                                '+'   43
[1,8]                                '+'   43
[1,9]                                '+'   43
[1,10]                               '+'   43
[1,11]                               '+'   43
[1,12]                               '+'   43
[1,13]                               '+'   43
[1,14]                               '+'   43
[1,15]                               '+'   43
[1,16]                               '+'   43
[1,17]                               '+'   43
[1,18]                               '+'   43
[1,19]                               '+'   43
[1,20]                               ','   44
[2]                                  '.'  255
[2,0]                                '.'  255
[2,1]                                '0'   48
[2,2]                                '+'   43
[2,3]                                '-'   45
[2,4]                                '0'   48
[2,5]                                '+'   43
[2,6]                                '.'   46
[2,7]                                '+'   43
[2,8]                                '/'   47
[2,9]                                '+'   43
[2,10]                               '0'   48
[2,11]                               '+'   43
[2,12]                               '0'   48
[2,13]                               '+'   43
[2,14]                               '/'   47
[2,15]                               '+'   43
[2,16]                               '+'   43
[2,17]                               '.'   46
[2,18]                               '+'   43
[2,19]                               '+'   43
[2,20]                               ','   44
[3]                                  '.'  255
[3,0]                                '.'  255
[3,1]                                '7'   55
[3,2]                                '2'   50
[3,3]                                '3'   51
[3,4]                                '0'   48
[3,5]                                '/'   47
[3,6]                                '+'   43
[3,7]                                ','   44
[3,8]                                '+'   43
[3,9]                                ','   44
[3,10]                               ','   44
[3,11]                               '+'   43
[3,12]                               ','   44
[3,13]                               '+'   43
[3,14]                               '+'   43
[3,15]                               '+'   43
[3,16]                               '+'   43
[3,17]                               '+'   43
[3,18]                               '+'   43
[3,19]                               '+'   43
[3,20]                               '<'   60
[4]                                  '.'  255
[4,0]                                '.'  255
[4,1]                                '-'   45
[4,2]                                ','   44
[4,3]                                ','   44
[4,4]                                '+'   43
[4,5]                                ','   44
[4,6]                                ','   44
[4,7]                                '+'   43
[4,8]                                ','   44
[4,9]                                '+'   43
[4,10]                               '+'   43
[4,11]                               '+'   43
[4,12]                               '+'   43
[4,13]                               '+'   43
[4,14]                               '+'   43
[4,15]                               '+'   43
[4,16]                               '+'   43
[4,17]                               '+'   43
[4,18]                               '+'   43
[4,19]                               '+'   43
[4,20]                               '+'   43
